opponent,game_index,seed,composition,player_id,round,phase,decision_type,category,resource,intent_type,wall_ns,cpu_ns
ai_deterministic,1,920001,HOO,p1,1,auction,auction_bid,opening_auction_bid,,auction_bid,149833,153000
ai_deterministic,1,920001,HOO,p1,1,auction,auction_bid,opening_auction_bid,,auction_pass,44333,45000
ai_deterministic,1,920001,HOO,p1,1,auction,auction_bid,opening_auction_bid,,auction_bid,25208,26000
ai_deterministic,1,920001,HOO,p1,1,auction,auction_bid,opening_auction_bid,,auction_pass,16333,16000
ai_deterministic,1,920001,HOO,p1,1,auction,auction_start,opening_auction_start,,auction_start,42875,43000
ai_deterministic,1,920001,HOO,p1,1,buy_resources,buy_resources,resource_plan,coal,buy_resource,426500,429000
ai_deterministic,1,920001,HOO,p1,1,build_houses,build_houses,build_houses,,commit_build,312000,313000
ai_deterministic,1,920001,HOO,p1,1,build_houses,build_houses,build_houses,,commit_build,197042,197000
ai_deterministic,1,920001,HOO,p1,1,build_houses,build_houses,build_houses,,finish_building,131791,132000
ai_deterministic,1,920001,HOO,p1,1,bureaucracy,bureaucracy,bureaucracy,,run_plants,38000,39000
ai_deterministic,1,920001,HOO,p1,2,auction,auction_start,later_auction_start,,auction_start,1857166,1857000
ai_deterministic,1,920001,HOO,p1,2,auction,auction_bid,later_auction_bid,,auction_pass,1061291,1062000
ai_deterministic,1,920001,HOO,p1,2,auction,auction_start,later_auction_start,,auction_pass,1717458,1718000
ai_deterministic,1,920001,HOO,p1,2,buy_resources,buy_resources,resource_plan,coal,buy_resource,400416,401000
ai_deterministic,1,920001,HOO,p1,2,build_houses,build_houses,build_houses,,commit_build,193250,194000
ai_deterministic,1,920001,HOO,p1,2,build_houses,build_houses,build_houses,,finish_building,144166,146000
ai_deterministic,1,920001,HOO,p1,2,bureaucracy,bureaucracy,bureaucracy,,run_plants,19917,20000
ai_deterministic,1,920001,HOO,p1,3,auction,auction_start,later_auction_start,,auction_start,1799792,1800000
ai_deterministic,1,920001,HOO,p1,3,auction,auction_bid,later_auction_bid,,auction_bid,1289541,1237000
ai_deterministic,1,920001,HOO,p1,3,auction,auction_bid,later_auction_bid,,auction_pass,1028667,1021000
ai_deterministic,1,920001,HOO,p1,3,auction,auction_start,later_auction_start,,auction_start,1651000,1652000
ai_deterministic,1,920001,HOO,p1,3,auction,auction_bid,later_auction_bid,,auction_bid,952834,953000
ai_deterministic,1,920001,HOO,p1,3,buy_resources,buy_resources,resource_plan,coal,buy_resource,376750,377000
ai_deterministic,1,920001,HOO,p1,3,build_houses,build_houses,build_houses,,finish_building,141875,143000
ai_deterministic,1,920001,HOO,p1,3,bureaucracy,bureaucracy,bureaucracy,,run_plants,30166,30000
ai_deterministic,1,920001,HOO,p1,4,auction,auction_start,later_auction_start,,auction_start,1761000,1762000
ai_deterministic,1,920001,HOO,p1,4,auction,auction_bid,later_auction_bid,,auction_pass,939208,940000
ai_deterministic,1,920001,HOO,p1,4,auction,auction_start,later_auction_start,,auction_start,1663167,1666000
ai_deterministic,1,920001,HOO,p1,4,auction,auction_bid,later_auction_bid,,auction_pass,930542,931000
ai_deterministic,1,920001,HOO,p1,4,auction,auction_start,later_auction_start,,auction_start,1584500,1574000
ai_deterministic,1,920001,HOO,p1,4,buy_resources,buy_resources,resource_plan,coal,buy_resource,620584,621000
ai_deterministic,1,920001,HOO,p1,4,buy_resources,buy_resources,resource_cached,oil,buy_resource,11041,13000
ai_deterministic,1,920001,HOO,p1,4,build_houses,build_houses,build_houses,,commit_build,187791,188000
ai_deterministic,1,920001,HOO,p1,4,build_houses,build_houses,build_houses,,finish_building,127542,127000
ai_deterministic,1,920001,HOO,p1,4,bureaucracy,bureaucracy,bureaucracy,,run_plants,60917,61000
ai_deterministic,1,920001,HOO,p1,5,auction,auction_start,later_auction_start,,auction_start,2068583,2051000
ai_deterministic,1,920001,HOO,p1,5,auction,auction_bid,later_auction_bid,,auction_pass,892542,894000
ai_deterministic,1,920001,HOO,p1,5,auction,auction_start,later_auction_start,,auction_pass,1934209,1922000
ai_deterministic,1,920001,HOO,p1,5,buy_resources,buy_resources,resource_plan,oil,buy_resource,623084,625000
ai_deterministic,1,920001,HOO,p1,5,build_houses,build_houses,build_houses,,commit_build,331167,330000
ai_deterministic,1,920001,HOO,p1,5,build_houses,build_houses,build_houses,,commit_build,267500,268000
